Species,Locomotor_type4,SkW,SL,OH,HL,Shoulder_Flexion,Shoulder_Extension,Shoulder_Adduction,Shoulder_Abduction,Shoulder_Medial_Rotation,Shoulder_Lateral_Rotation,DHW,OL,UL,Elbow_Flexors,Wrist_Extension,ML,Wrist_Flexion,MW,TML
Urogale_everetti,QC,25.44,57.31,8.428,29.04,12.25,8.873,12.25,11.41,2.291,1.935,8.26,6.246,30.74,3.677,5.536,26.34,3.575,8.479,4.517
Ptilocercus_lowii,QC,22.78,37.88,5.049,21.92,10.01,6.416,7.211,5.772,2.525,1.126,5.26,2.733,24.54,3.574,2.024,18.79,1.889,6.496,2.347
Erinaceus_europaeus,CUR,33.42,55.88,7.679,41.71,17.78,15.66,17.78,15.01,3.652,3.771,12.14,11.49,37.28,8.858,7.938,33.3,5.268,14.03,5.319
Hemiechinus_auritus,CUR,26.56,43.27,6.916,29.85,13.92,11.98,13.92,10.48,2.898,2.192,7.979,8.058,30.94,3.558,5.286,23.06,2.681,8.456,3.603
Neomys_fodiens,FP,10.76,20.05,5.108,8.331,4.102,3.801,4.102,2.686,0.978,0.8156,3.724,2.313,9.724,1.664,1.472,9.67,0.7979,2.711,1.382
Solenodon_paradoxus,SD,33.42,89.91,12.9,51.14,28.78,20.03,25.77,26.57,4.808,4.357,18.66,13.99,42.8,8.608,8.382,46.49,6.413,17.01,9.276
Crocidura_russula,CUR,9.466,20.14,3.795,8.525,4.255,3.555,3.847,2.564,1.093,0.9106,2.699,1.849,8.625,1.515,1.074,7.994,0.7633,3.16,1.169
Crocidura_olivieri,CUR,11.66,27.54,4.079,14.06,6.721,5.759,6.721,4.546,1.43,1.335,4.151,3.072,12.79,2.205,5.045,12.31,1.454,4.339,1.659
Macrotis_lagotis,SD,30.84,67.81,11.81,32.53,19.85,13.54,19.85,10.6,3.32,2.903,10.38,9.847,36.55,9.298,7.117,30.83,3.207,10.07,8.536
Myrmecobius_fasciatus,SD,31.22,56.29,6.424,29.81,18.25,11.95,17.53,16.65,3.729,3.403,10.43,7.863,32.24,4.804,5.058,27.95,4.104,10.03,6.894
Onychogalea_fraenata,RIC,45.5,81.05,16.2,59.1,33.71,17.22,33.71,24.27,5.771,5.908,20.36,13.56,68.8,9.643,9.002,35.8,7.181,15.62,8.529
Thylogale_stigmatica,RIC,55.24,98.83,14.36,72.4,40.85,32.06,37.06,26.97,7.769,4.659,20.39,13.55,91.8,12.14,11.54,39.93,4.136,19.29,11.14
Notoryctes_typhlops,SD,16.55,25.55,6.861,13.44,9.042,6.181,8.729,8.296,2.644,1.706,9.1,7.884,8.125,2.286,1.722,15.64,3.499,9.197,11.83
Vombatus_ursinus,SD,59.4,87.24,16.91,46.21,25.36,19.02,23.98,23.64,6.022,6.771,19,13.97,39.62,9.867,19.76,44.84,6.35,23.48,10.86
Macropus_fuliginosus,RIC,123.9,260.4,44.79,169.1,72,42.98,72,60.44,11.07,16.84,47.44,29.81,214.2,17.59,51.6,107.7,17,43.04,24.75
Notamacropus_agilis,RIC,68.41,143.21,26.71,108.65,61.56,42.09,61.56,44.75,7,9.43,33.68,21.35,132.34,14.14,17.64,81.82,12.73,24.65,30.72
Dasyurus_viverrinus,CUR,37.69,56.74,9.2,45.02,21.36,12.98,21.36,21.36,2.561,3.59,9.259,7.165,50.34,7.119,14.08,29.72,3.865,8.093,5.39
Isoodon_auratus,CUR,25.44,50.1,8.666,30.41,13.78,10.87,13.78,13.78,1.717,2.62,7.794,6.829,24.45,5.056,11.4,21.33,3.039,6.518,4.864
Perameles_bougainville,CUR,25.45,59.15,9.069,26.85,10.21,8.735,10.21,10.21,2.178,1.668,6.767,6.01,29.61,3.611,12.7,25.94,2.934,7.574,6.059
Dasyurus_hallucatus,CUR,34.98,62.56,7.397,39.95,20.84,14.37,20.84,20.84,2.678,2.469,10.36,7.702,39.91,6.075,7.77,27.63,3.861,10.7,5.293
Dasyurus_maculatus,CUR,53.49,88.97,13.65,66.64,32.21,24.81,32.21,32.21,4.377,5.464,17.72,12.38,62.25,8.709,11.66,43.35,7.571,17.91,7.64
Petauroides_volans,QC,34.76,55.19,5.218,74.76,27.13,24.91,27.13,27.13,3.355,1.527,13.54,11.42,66.53,11.89,14.28,41.8,4.155,26.44,7.046
Dactylopsila_trivirgata,QC,41.47,61.11,7.697,38.52,19.93,14.64,19.93,19.93,4.636,2.914,13.33,9.212,44.16,8.467,7.911,41.35,3.697,20.01,5.542
Petaurus_breviceps,QC,24.95,37.84,4.57,28.77,10.86,7.554,10.86,8.393,2.223,1.282,7.068,4.367,34.66,5.039,8.999,25.86,15.71,7.715,4.315
Pseudocheirus_peregrinus,QC,33.42,54.44,5.38,42.57,19.1,14.81,19.1,19.1,3.383,2.633,11.82,7.139,46.22,5.684,10.89,27.76,3.44,18.78,4.43
Acrobates_pygmaeus,QC,14.04,20.88,2.729,12.73,4.442,3.841,4.442,3.91,1.07,0.4952,3.54,2.756,15.16,2.216,3.139,9.623,0.9164,4.448,1.407
Didelphis_virginiana,CUR,74.26,135.21,18.65,67.2,42.48,29.42,42.48,25.5,8.38,9.41,22.8,18.52,67.48,13.96,14.31,50.95,8.73,26.2,8.38
Chironectes_minimus,HP,44.08,72.74,9.607,50.57,23.9,14.42,23.9,13.33,4.461,3.082,13.02,8.638,56.03,9.168,10.66,42.46,4.875,17.67,4.451
Antechinus_stuartii,CUR,14.26,24.08,3.68,12.24,4.871,3.54,4.871,4.871,0.6918,1.177,3.642,2.56,13.63,1.853,4.372,9.493,1.185,6.132,1.137
Phascolarctos_cinereus,QC,94.79,134.5,22.61,141.4,67.35,56.02,67.35,67.35,9.28,9.789,45.87,23.98,158.8,26.1,42.86,115.3,16.57,77.77,20.24
Nasua_nasua,CUR,39.34,71.4,12.79,43.65,21.43,17.74,21.43,21.43,3.075,4.305,14.43,5.144,36.4,10.17,17.45,42.94,4.089,15.23,6.963
Vulpes_vulpes,CUR,57.22,96.88,16.57,84.98,51.36,20.59,51.36,51.36,5.516,7.763,18.78,16.22,66.94,12.45,12.73,51.1,8.904,22.86,7.246
Lycaon_pictus,CUR,149.3,208.4,39.7,184.7,81.86,70.41,81.86,74.54,12.73,19.57,35.8,36.28,201.4,46.69,56.19,168.3,28.36,39.3,24.57
