Species,Locomotor_type4,SkW,SL,OH,HL,Shoulder_Flexion,Shoulder_Extension,Shoulder_Adduction,Shoulder_Abduction,Shoulder_Medial_Rotation,Shoulder_Lateral_Rotation,DHW,OL,UL,Elbow_Flexors,Wrist_Extension,ML,Wrist_Flexion,MW,TML
Cryptomys,CT,26.1,32.44,6.158,17.52,10.13,7.347,10.13,10.13,3.421,2.519,5.428,6.087,16.37,5.627,2.622,14.55,1.915,4.649,2.861
Ctenomys_maulinus,SD,21.51,33.42,5.126,17,8.649,7.129,8.649,8.229,2.342,1.883,5.283,4.715,16.02,3.629,4.222,16.2,2.218,5.412,4.464
Dipodomys_deserti,RIC,28.96,40.48,7.426,15.45,5.841,5.365,5.841,5.019,1.98,1.108,4.774,3.307,21.14,2.405,1.044,11.04,1.755,4.07,3.524
Dipodomys_merriami,RIC,22.28,34.23,4.835,12.02,5.115,4.182,5.115,4.41,1.904,0.868,3.654,2.599,17.34,2.488,1.225,9.452,1.345,3.859,1.805
Dipodomys_panamintinus,RIC,24.65,38.72,4.918,15.07,7.281,4.448,7.281,7.215,2.713,1.212,4.804,3.636,19.47,2.792,2.526,10.44,1.847,4.672,4.003
Dipodomys_microps,RIC,23.42,37.07,4.807,13.77,5.822,4.887,5.908,5.639,2.068,1.467,4.045,2.719,17.45,2.361,2.096,9.506,1.947,3.866,3.137
Eospalax_rothschildi,SD,24.33,39.07,9.075,19.68,10.02,7.734,10.02,9.67,4.185,3.258,9.084,6.975,14.59,2.836,4.697,22.34,6.395,9.615,9.409
Georychus_capensis,CT,25.4,33.46,6.679,21.31,12.59,11.56,12.59,12.61,3.601,2.533,6.315,6.484,18.46,4.207,1.969,17.66,1.844,6.567,2.35
Heliophobius_argenteocinereus,CT,27.53,35.18,6.385,21.42,13.06,11.32,13.06,12.61,3.77,2.85,6.028,7.356,17.93,3.856,1.718,19.48,2.832,7.704,2.512
Heterocephalus_glaber,CT,19.39,21.4,4.162,15.43,8.776,6.365,8.776,8.776,1.392,1.49,4.056,4.131,11.64,5.174,1.331,13.15,1.856,4.919,1.488
Blanfordimys_juldaschi,CUR,17.18,28.29,2.111,13.09,6.824,5.712,6.824,6.211,2.462,1.187,3.467,2.487,12.8,3.733,1.121,9.747,1.891,3.442,2.117
Microtus_pennsylvanicus,CUR,13.56,26.65,3.522,14.37,6.265,4.092,6.265,6.265,1.979,1.056,3.566,2.607,15.09,3.434,1.188,9.501,1.194,3.737,1.03
